component_id,sum
900cfe4307030463,7.0
3399d77344020106,30.0
d21b624fe7487ef6,19.0
43fbdfa7737f8359,12.0
ae53bd9d154a3540,26.0
f9be0f482126d4ed,10.0
96df710807b76b3d,13.0
52b9b45f1d6fe708,120.0
f667038a8745421e,9.0
e3fafa10ff0ca5e3,46.0
cd50ae80b974a24b,8.0
33a847c1a6dce379,10.0
106f70ae29faf7ca,7.0
97cd3f8309e9ee18,17.0
17383df3cfc7a0e5,22.0
58184a69acfc935a,8.0
b42cd06af395aff5,14.0
9d2d90500fec33ac,8.0
857a0fd9e52ec967,10.0
9e3c04a6e908cc71,16.0
a5cde21beda78449,10.0
613185b6731d6c24,11.0
71e54a42eb9291ab,16.0
31cefd71c10b6de3,22.0
f8836b73b97b2843,70.0
9ee9f49e0e65a162,7.0
6fb37b43c8174cc5,10.0
9e9fdb14a6f2d109,8.0
dcfec2ecacc4c95f,206.0
3f2a46395e700a99,18.0
7af31f31a18a4b41,16.0
ee5eb012ffb18430,9.0
e0334efce1f4b741,34.0
9c6672ae505bcb33,18.0
5f7cb2f2102ae4b9,143.0
c27311a12b0b7e7f,7.0
bd1c5dc22f3470c9,50.0
efd8b561f7542aa5,46.0
ea1241bdea8fccbf,47.0
e6a08357fd55f77f,6.0
96e7bb848a7f69a3,22.0
8dff0a540c9ef61c,20.0
8c219bc230ab6b17,7.0
bef720f9a7301018,18.0
09c8201111d747f3,10.0
296301ae1cf15653,13.0
a6d4af1178cab878,7.0
3c8bf9aaaef530eb,26.0
e5dc8c95304e14d0,19.0
837e2b18a307ea51,70.0
bf5c88686ba1942f,7.0
4ae9b1731314556c,30.0
5ceb2ed3ed7966a2,10.0
306bdadf478066d9,12.0
aee5fdbb762e7fff,13.0
6fccd178f1ac729f,14.0
fefc7f688d55c009,19.0
6fc3a4994555db90,8.0
574ea37552dbab56,8.0
d16d9a834b42f8f4,10.0
97ab70bb42d8f60a,7.0
78abf619bb582353,13.0
a90066d10fd2f46b,101.0
84ed2d914732006a,17.0
2c882638bcba83bb,12.0
4c363ee56c8442d4,11.0
cf45a00ebc57664d,54.0
cf671fd29e08678a,34.0
6047e16ed554837b,35.0
edeb0cbbabef8d74,7.0
4d0c514e1e5f0f41,366.0
f724cc5c37c059ab,11.0
d984399d39fcb7d5,8.0
cb2cf863eb497357,7.0
25787d51dc571741,133.0
0dee6bfcf2beeca4,11.0
7834d310fa4bfcff,11.0
5c3b9b38b23e9e14,58.0
5334f2583cce50d1,92.0
b143e4ff2011d29c,297.0
05d9d7bdeb7a32bb,13.0
6b75b2fb9580f80d,8.0
6bce26a1437d09af,9.0
1ad6e58f526933e4,59.0
901dc7812eab80ee,79.0
ef95ba3aaadb3c8f,8.0
1beadafcbdb34fbb,13.0
5d555c6a278e632d,86.0
cd1abb5b542c8cb3,46.0
fe89bd025cbf3db6,9.0
9a34cef29ed4e28a,30.0
bdeb35ddf59af504,9.0
978f345a9a6ac1d6,8.0
bbf950ac16e95529,7.0
268f3cb12ef4ed45,32.0
50c8f60b7617667e,25.0
02b6a1b2a2c9839f,12.0
3e4de34d60eaf68d,24.0
3fd5e7fbf920a5c1,11.0
c8e084a91a5d42b1,206.0
2f613f122f1d7d9a,21.0
81a1f585fe86c94c,24.0
dc5ad27651d3f99f,8.0
ed40ee84771d1f73,12.0
97f81b0667b3c1de,54.0
e1917f2096c84611,14.0
99e6d65fc23d76d1,6.0
6387adbdd3424b73,11.0
20a4aea2c3240992,30.0
0efe50e5e3896f46,12.0
701bf49104ed562e,12.0
c0a5216c0457e68a,10.0
d5419d5e3094a957,13.0
1a855270ab6c08ef,7.0
77150d7c85d59e2f,7.0
037a35a259148076,27.0
480bda3f3420ac7a,20.0
b779d048482f4c35,11.0
5196650c92279d42,7.0
26bce0b1adfb952c,20.0
59f6c506059cd158,141.0
70ab2c75cacdb7ce,11.0
b806452e10edd766,14.0
bc55e53ac74b5d1d,26.0
