component_id,manufacturers
e7f6d0499590724b,TDK
e81d7cf8d872fc55,Espressif
eae904b2b9f29c8d,Bourns
ebd823c99322f78f,Vishay
ec2164c4dff13a93,TE
ec7d39988630b46b,YAGEO
ec89dc61b2b7b885,Microchip
ed60fcef7f5cfae9,Murata
ed6a218cf43a9f35,Stackpole
edae8453d153a9a4,Microchip
ee2ccbb327d9222f,Kemet
eeb3521b006edeb0,Molex
ef1670cfd1623f8d,CNC Tech
ef4323e285795d17,Analog Devices Inc
ef5de35e7840f1de,Cornell Dubilier
f0296d9d69cc981c,Marvell
f05ef8fa0b7c6025,Microchip
f102e1a9804e7e3d,ON Semi
f172ce4dd95c4dc1,Texas Instruments
f1dbe8f608bab49a,Vishay
f237c98afc1de1d5,Microchip
f23801596d2d9875,Texas Instruments
f2bb143b7345664b,ON Semi
f2f20904236b1696,Amphenol ICC
f31468ec284b22e3,ON Semi
f47171445c027b2d,Linear Technologies
f4741ac78d61f198,ROHM
f4952525f2633de9,Vishay
f5c4c87f54ca6a10,TE
2b1478081eab3335,Diodes
f64d930ddd06ab94,Winslow
f6cc18636c1cf9a7,Areva
f7d5ca0d2400370d,Murata
f84920e4e4ce75f5,Ohmite
f9438716ae6096ac,Broadcom/Avago
f9a6cb6b92e9da65,THAT Corporation
f9be0f482126d4ed,Maxim Electronics
f9f89de5a7a8b8fa,Cypress
fa88ebdc9ea1e8e6,Texas Instruments
fbd66afcc78e7d6a,Murata
fc5e6e59ec109c14,Samtec
fce3a5ce4cc34716,STMicroelectronics
fcedea0a87f717bf,Panasonic
fd6f4d0bbf6dade4,Murata
fd74ca746b0c684c,ON Semi
fd93322fdaab5e17,Anaren
fdac6ae79dd0d0f8,JST
fe779296a63700a3,Texas Instruments
00b9386217fa380c,Everlight
00deced71d167e1c,Yageo / Phycomp
015d6a10751c60f8,Analog Devices Inc
021eebf4bfdb25bf,Diodes
026119e7bb1e3ab4,IDT
02c6cadaa4b6f10d,Maxwell
0317368449e5ee44,Texas Instruments
049afb75a901b64d,Microchip
04e591d3112e7791,ON Semi
058bd170cb568a29,Vishay
05d2758198d27807,ST Microelectronics
05e6dc6bad80b35e,Sprague
06e32fd2d851560a,"NINGBO FORYARD OPTOELECTRONICS CO.,LTD"
0755a8c626dfea95,Vishay
078f2baa925369f1,Texas Instruments
079c2168c69d8af1,Citizen Finedevice Co Ltd
07a2d1fbe98e99f2,YAGEO
07ab15d7998a3aed,Laird
083ece3260bb4ed2,Murata
09e72b0af08cc4ff,ON Semi
0b089cee45a057cb,Microchip
0b2045a07bd4a067,Vishay
0b3fb52aee07da9d,TDK
0baa0b5c529b857c,Amphenol
0c2fbd6d4140b1e8,Fairchild
0ca971b1073fa3d1,Allegro MicroSystems
0f40018650556878,Broadcom
0ff8bf21eeb5bb51,United Chemi-Con
106eac3e2c508063,Vishay
10c9849f29ead34c,AVX
117bf87da37e2046,Linear Technologies
1285dd333a018000,Murata
134322e2728187bb,ON Semi
1373fee30b1b7a5c,Intersil
138c3d6dd111314c,Texas Instruments
14a70875ce66fc07,TE
14c97dbcbf96f09e,Fairchild
15dd137ee884c61e,YAGEO
1637dc921f2c10f4,MEC Relays
163e758a1637876d,Pulse
16aa82c17e7459a0,ON Semi
16bc3b9f591fb266,AVX
16e98c5cbfb01a7c,Molex
18442ee595494208,ON Semi
18dd2a86333b26ea,YAGEO
19573a617fc9c9d3,TDK
195987cadacb6ade,ON Semi
19829d7a1bf53234,Dialight
19caabd42be2580f,Sullins
1b4918f743e98f5f,ON Semi
1becc51cc0ad104b,Texas Instruments
1d4a70678f577b31,Intersil
1d6ea4897a69bcca,CUI
1dc58e769242568d,Vishay
1de3f1fc896586ba,Microchip Technology/Atmel
1e35d550e2c740a6,TDK
1e654fbfc07cb48b,Texas Instruments
1e8fd700d1f3573c,STMicroelectronics
1f585f57a34c0339,Texas Instruments
1fa2016de3a8e898,Vishay Huntington
204dff0dc69ee11b,Microchip
21033032bd82ce38,Samtec
21be81a0243807e2,Motorola
22ae7fb2095bc643,Murata
22af3a7051caf3e8,Microchip
23956ad941b0aaa9,Neutrik
23da073caa738c5a,STMicroelectronics
23f255ab55c8b7e3,Microchip
24b7ed15e02761c5,Maxim Electronics
24f257453c664bda,SEIKO EPSON CORPORATION
251bb2767a27bdd1,Atmel
258e9997b298c43a,MULTICOMP
279000584dbd78a6,u-blox
281b1c949fae42ab,YAGEO
283ccdad0e84321b,SparkFun
292d1806459bbbe2,Texas Instruments
29499c4bda0b87e6,STMicroelectronics
2a4b3ef6b7fce371,Texas Instruments
2b6b229e9d8ba07c,Panasonic
2d033022193d9e7e,World-Semi
2d6ad43221e3268f,Murata
